;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
207;REPROVADO;abaac7a4a42d03417f81b1455442607a;0.0;92127264.0;1239412;3.6;4.5;4.0;f;3.0
208;APROVADO POR NOTA;4786ee006b177a4effef45521b7bd94f;0.0;92127264.0;1239412;6.4;7.19999981;2.0;f;1.0
209;APROVADO POR NOTA;4786ee006b177a4effef45521b7bd94f;0.0;92127264.0;1239412;6.4;5.9000001;2.0;f;2.0
210;APROVADO POR NOTA;4786ee006b177a4effef45521b7bd94f;0.0;92127264.0;1239412;6.4;6.0;2.0;f;3.0
211;REPROVADO;cbe40ea1cb2d08a912937532829ea391;0.0;92127264.0;1239412;2.8;4.5;2.0;f;1.0
212;REPROVADO;cbe40ea1cb2d08a912937532829ea391;0.0;92127264.0;1239412;2.8;1.39999998;2.0;f;2.0
213;REPROVADO;cbe40ea1cb2d08a912937532829ea391;0.0;92127264.0;1239412;2.8;2.5;2.0;f;3.0
214;EXCLUIDA;cbe40ea1cb2d08a912937532829ea391;;92127264.0;1239412;;;;;
215;REPROVADO;3bd9e9ae301ecd9b159be3bf2624bebe;0.0;92127264.0;1239412;4.3;4.19999981;2.0;f;1.0
216;REPROVADO;3bd9e9ae301ecd9b159be3bf2624bebe;0.0;92127264.0;1239412;4.3;3.29999995;2.0;f;2.0
217;REPROVADO;3bd9e9ae301ecd9b159be3bf2624bebe;0.0;92127264.0;1239412;4.3;1.5;2.0;t;3.0
218;APROVADO POR NOTA;738ebc6d7bd6c58acd2364c0c262e500;0.0;92127264.0;1239412;5.5;4.19999981;2.0;f;1.0
219;APROVADO POR NOTA;738ebc6d7bd6c58acd2364c0c262e500;0.0;92127264.0;1239412;5.5;6.69999981;2.0;f;2.0
220;APROVADO POR NOTA;738ebc6d7bd6c58acd2364c0c262e500;0.0;92127264.0;1239412;5.5;5.5;2.0;f;3.0
221;APROVADO;d74b3e9757144bbf51198784155a6ade;0.0;92127264.0;1239412;7.1;7.400000099999999;2.0;f;1.0
222;APROVADO;d74b3e9757144bbf51198784155a6ade;0.0;92127264.0;1239412;7.1;8.0;2.0;f;2.0
223;APROVADO;d74b3e9757144bbf51198784155a6ade;0.0;92127264.0;1239412;7.1;5.80000019;2.0;f;3.0
224;APROVADO POR NOTA;09c576ebed33d3a813eabe6d34f29efc;0.0;92127264.0;1239412;6.5;5.5;2.0;f;1.0
225;APROVADO POR NOTA;09c576ebed33d3a813eabe6d34f29efc;0.0;92127264.0;1239412;6.5;7.099999900000001;2.0;f;2.0
226;APROVADO POR NOTA;09c576ebed33d3a813eabe6d34f29efc;0.0;92127264.0;1239412;6.5;2.5;2.0;t;3.0
227;EXCLUIDA;09c576ebed33d3a813eabe6d34f29efc;;92127264.0;1239412;;;;;
228;EXCLUIDA;738ebc6d7bd6c58acd2364c0c262e500;;92127264.0;1239412;;;;;
229;REPROVADO POR MÉDIA E POR FALTAS;cb5af6571a4fea0ecf8163f351e66725;0.0;92127264.0;1239412;0.0;0.0;24.0;f;1.0
230;REPROVADO POR MÉDIA E POR FALTAS;cb5af6571a4fea0ecf8163f351e66725;0.0;92127264.0;1239412;0.0;0.0;24.0;f;2.0
231;REPROVADO POR MÉDIA E POR FALTAS;cb5af6571a4fea0ecf8163f351e66725;0.0;92127264.0;1239412;0.0;0.0;24.0;f;3.0
232;EXCLUIDA;cb5af6571a4fea0ecf8163f351e66725;;92127264.0;1239412;;;;;
233;EXCLUIDA;b0240cb0adf9592813fb31b454827c66;;2000013.0;1239412;;;;;
234;CANCELADO;ad5131af1ce9f4f9b019b81117bb843c;;92127264.0;1239412;;;;;
235;EXCLUIDA;ad5131af1ce9f4f9b019b81117bb843c;;92127264.0;1239412;;;;;
236;TRANCADO;cbc7c28c6a4e27d2518e0bc4cbbda426;0.0;17848940.0;1239412;;;0.0;f;2.0
237;TRANCADO;cbc7c28c6a4e27d2518e0bc4cbbda426;0.0;17848940.0;1239412;;;0.0;f;1.0
238;TRANCADO;cbc7c28c6a4e27d2518e0bc4cbbda426;0.0;17848940.0;1239412;;;0.0;f;3.0
239;EXCLUIDA;cbc7c28c6a4e27d2518e0bc4cbbda426;;17848940.0;1239412;;;;;
240;REPROVADO POR MÉDIA E POR FALTAS;b0240cb0adf9592813fb31b454827c66;0.0;2000013.0;1239412;1.6;4.0;26.0;f;1.0
241;REPROVADO POR MÉDIA E POR FALTAS;b0240cb0adf9592813fb31b454827c66;0.0;2000013.0;1239412;1.6;0.300000012;26.0;f;2.0
242;REPROVADO POR MÉDIA E POR FALTAS;b0240cb0adf9592813fb31b454827c66;0.0;2000013.0;1239412;1.6;0.5;26.0;f;3.0
243;CANCELADO;00f1b94241d25c31495b135d7604659e;0.0;2000013.0;1239412;0.3;0.5;26.0;f;1.0
244;CANCELADO;00f1b94241d25c31495b135d7604659e;0.0;2000013.0;1239412;0.3;0.5;26.0;f;2.0
245;CANCELADO;00f1b94241d25c31495b135d7604659e;0.0;2000013.0;1239412;0.3;0.0;26.0;f;3.0
246;EXCLUIDA;e16576bd21bb2c78f61e3b895da26433;;92127264.0;1239412;;;;;
247;EXCLUIDA;2bebbda0ca273a4be74009d7699de55f;;92127264.0;1239412;;;;;
248;EXCLUIDA;934e88c3c9b5350160b13b623c2d340d;;92127264.0;1239412;;;;;
249;EXCLUIDA;006cb1efc267fad604fd1bfc5004faf3;;2000013.0;1239412;;;;;
250;REPROVADO POR MÉDIA E POR FALTAS;006cb1efc267fad604fd1bfc5004faf3;0.0;2000013.0;1239412;0.8;2.29999995;44.0;f;1.0
251;REPROVADO POR MÉDIA E POR FALTAS;006cb1efc267fad604fd1bfc5004faf3;0.0;2000013.0;1239412;0.8;0.0;44.0;f;2.0
252;REPROVADO POR MÉDIA E POR FALTAS;006cb1efc267fad604fd1bfc5004faf3;0.0;2000013.0;1239412;0.8;0.0;44.0;f;3.0
253;EXCLUIDA;ceef990f02872e8bebca84a13d8f4f9a;;92127264.0;1239412;;;;;
254;APROVADO POR NOTA;ceef990f02872e8bebca84a13d8f4f9a;0.0;92127264.0;1239412;5.9;6.900000099999999;2.0;f;1.0
255;APROVADO POR NOTA;ceef990f02872e8bebca84a13d8f4f9a;0.0;92127264.0;1239412;5.9;5.69999981;2.0;f;2.0
256;APROVADO POR NOTA;ceef990f02872e8bebca84a13d8f4f9a;0.0;92127264.0;1239412;5.9;5.0999999;2.0;f;3.0
257;APROVADO POR NOTA;515f232c90b19e1014be58aeb8b56266;0.0;92127264.0;1239412;5.6;5.30000019;2.0;f;1.0
258;APROVADO POR NOTA;515f232c90b19e1014be58aeb8b56266;0.0;92127264.0;1239412;5.6;6.0999999;2.0;f;2.0
259;APROVADO POR NOTA;515f232c90b19e1014be58aeb8b56266;0.0;92127264.0;1239412;5.6;2.0;2.0;t;3.0
260;EXCLUIDA;00f1b94241d25c31495b135d7604659e;;2000013.0;1239412;;;;;
261;EXCLUIDA;1769378784613a7f89344897979d8d68;;92127264.0;1239412;;;;;
262;APROVADO POR NOTA;1769378784613a7f89344897979d8d68;0.0;92127264.0;1239412;5.8;6.0;2.0;f;1.0
263;APROVADO POR NOTA;1769378784613a7f89344897979d8d68;0.0;92127264.0;1239412;5.8;6.4000001;2.0;f;2.0
264;APROVADO POR NOTA;1769378784613a7f89344897979d8d68;0.0;92127264.0;1239412;5.8;4.9000001;2.0;f;3.0
265;APROVADO POR NOTA;934e88c3c9b5350160b13b623c2d340d;0.0;92127264.0;1239412;5.3;5.0999999;2.0;f;1.0
266;APROVADO POR NOTA;934e88c3c9b5350160b13b623c2d340d;0.0;92127264.0;1239412;5.3;2.0999999;2.0;t;2.0
267;APROVADO POR NOTA;934e88c3c9b5350160b13b623c2d340d;0.0;92127264.0;1239412;5.3;5.80000019;2.0;f;3.0
268;APROVADO POR NOTA;2bebbda0ca273a4be74009d7699de55f;0.0;92127264.0;1239412;6.1;5.80000019;0.0;f;1.0
269;APROVADO POR NOTA;2bebbda0ca273a4be74009d7699de55f;0.0;92127264.0;1239412;6.1;6.599999900000001;0.0;f;2.0
270;APROVADO POR NOTA;2bebbda0ca273a4be74009d7699de55f;0.0;92127264.0;1239412;6.1;2.0;0.0;t;3.0
271;APROVADO POR NOTA;e16576bd21bb2c78f61e3b895da26433;0.0;92127264.0;1239412;6.7;8.69999981;6.0;f;1.0
272;APROVADO POR NOTA;e16576bd21bb2c78f61e3b895da26433;0.0;92127264.0;1239412;6.7;6.80000019;6.0;f;2.0
273;APROVADO POR NOTA;e16576bd21bb2c78f61e3b895da26433;0.0;92127264.0;1239412;6.7;4.5;6.0;f;3.0
274;EXCLUIDA;16bcf9f32c941fa63a6b0ae2cb03fdcf;;92127264.0;1239412;;;;;
275;REPROVADO POR MÉDIA E POR FALTAS;81b3bf9f2b3b99b358a853e77c69d338;0.0;92127264.0;1239412;3.3;6.19999981;24.0;f;1.0
276;REPROVADO POR MÉDIA E POR FALTAS;81b3bf9f2b3b99b358a853e77c69d338;0.0;92127264.0;1239412;3.3;1.20000005;24.0;f;2.0
277;REPROVADO POR MÉDIA E POR FALTAS;81b3bf9f2b3b99b358a853e77c69d338;0.0;92127264.0;1239412;3.3;2.5;24.0;f;3.0
278;EXCLUIDA;81b3bf9f2b3b99b358a853e77c69d338;;92127264.0;1239412;;;;;
279;APROVADO POR NOTA;16bcf9f32c941fa63a6b0ae2cb03fdcf;0.0;92127264.0;1239412;6.9;6.4000001;2.0;f;1.0
280;APROVADO POR NOTA;16bcf9f32c941fa63a6b0ae2cb03fdcf;0.0;92127264.0;1239412;6.9;8.69999981;2.0;f;2.0
281;APROVADO POR NOTA;16bcf9f32c941fa63a6b0ae2cb03fdcf;0.0;92127264.0;1239412;6.9;5.5;2.0;f;3.0
282;EXCLUIDA;3bd9e9ae301ecd9b159be3bf2624bebe;;92127264.0;1239412;;;;;
