,nome_ascii,id_turma
10969,DESENVOLVIMENTO DE PROJETOS DE REDES DE COMPUTADORES,57600774
10974,"TOPICOS ESPECIAIS EM REDES DE COMPUTADORES B""",57600779
10985,TECNOLOGIAS DE COMUNICACAO DE DADOS,57600790
10987,PROGRAMACAO EM HARDWARE DE REDES,57600792
11240,DESENVOLVIMENTO PARA DISPOSITIVOS MOVEIS V (HTML5 E TECNOLOGIAS HIBRIDAS),57600995
11656,ARMAZENAMENTO DE BIG DATA,57601293
12600,DESENVOLVIMENTO PARA DISPOSITIVOS MOVEIS III (WINDOWS PHONE),57602213
12868,APRENDIZAGEM DE MAQUINA PARA BIG DATA,57602476
13549,TOPICOS AVANCADOS EM COMPUTACAO MOVEL I,57602967
13660,PROGRAMACAO CIENTIFICA PARA BIG DATA,57603039
13815,TOPICOS AVANCADOS EM COMPUTACAO MOVEL II,57603173
13881,ANALISE ESTATISTICA PARA BIG DATA,57603381
13973,MINERACAO DE DADOS,57605694
