,id_turma,codigo,nome_ascii,docente_interno,docente_externo,nivel_ensino,ano,periodo,capacidade_aluno,local,data_inicio,data_fim,codigo_turma,descricao_horario,observacao,distancia,tipo,data_consolidacao,agrupadora,qtd_aulas_lancadas,situacao_turma,convenio,modalidade_participantes,campus_turma,Unnamed: 24
4952,57597109,IMD0018,PRATICAS DE LEITURA EM INGLES,9ebc5dab680ee4c3793406ed088d8fbd,,GRADUAÇÃO,2017,1,70.0,B204 - CIVT,2017-02-13,2017-07-01,01,3M34 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 22:38:13.368,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
4953,57597110,IMD0018,PRATICAS DE LEITURA EM INGLES,9ebc5dab680ee4c3793406ed088d8fbd,,GRADUAÇÃO,2017,1,70.0,B204 - CIVT,2017-02-13,2017-07-01,02,3M56 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 22:45:28.485,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
4954,57597111,IMD0018,PRATICAS DE LEITURA EM INGLES,9ebc5dab680ee4c3793406ed088d8fbd,,GRADUAÇÃO,2017,1,70.0,B204 - CIVT,2017-02-13,2017-07-01,03,3T34 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 22:44:05.976,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
4955,57597112,IMD0018,PRATICAS DE LEITURA EM INGLES,9ebc5dab680ee4c3793406ed088d8fbd,,GRADUAÇÃO,2017,1,70.0,B204 - CIVT,2017-02-13,2017-07-01,04,5N12 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 22:47:04.12,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
4956,57597113,IMD0018,PRATICAS DE LEITURA EM INGLES,9ebc5dab680ee4c3793406ed088d8fbd,,GRADUAÇÃO,2017,1,70.0,B204 - CIVT,2017-02-13,2017-07-01,05,5N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 22:48:46.318,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
4959,57597117,IMD0020,TECNOLOGIA DA INFORMACAO E SOCIEDADE,1a57414836fe095c7ad8bc9b3ec7978a,,GRADUAÇÃO,2017,1,70.0,B204 - CIVT,2017-02-13,2017-07-01,01,5T56 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 18:37:57.985,f,34.0,CONSOLIDADA,,Presencial,Campus Central,
4965,57597123,IMD0020,TECNOLOGIA DA INFORMACAO E SOCIEDADE,6f243a36f4aed2fd1d48dad0729935f0,,GRADUAÇÃO,2017,1,70.0,B203 - CIVT,2017-02-13,2017-07-01,02,3M34 (13/02/2017 - 01/07/2017),,f,1,2017-06-30 15:12:48.495,f,34.0,CONSOLIDADA,,Presencial,Campus Central,
4968,57597125,IMD0020,TECNOLOGIA DA INFORMACAO E SOCIEDADE,6f243a36f4aed2fd1d48dad0729935f0,,GRADUAÇÃO,2017,1,70.0,B203 - CIVT,2017-02-13,2017-07-01,03,3M56 (13/02/2017 - 01/07/2017),,f,1,2017-06-30 15:16:15.367,f,34.0,CONSOLIDADA,,Presencial,Campus Central,
4969,57597126,IMD0020,TECNOLOGIA DA INFORMACAO E SOCIEDADE,9e46b64ea73cc87e68dccbebec5b5cfe,,GRADUAÇÃO,2017,1,70.0,B203 - CIVT,2017-02-13,2017-07-01,04,5N12 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 18:36:10.83,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
4971,57597128,IMD0020,TECNOLOGIA DA INFORMACAO E SOCIEDADE,9e46b64ea73cc87e68dccbebec5b5cfe,,GRADUAÇÃO,2017,1,70.0,B203 - CIVT,2017-02-13,2017-07-01,05,5N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 18:43:10.153,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
5530,57597569,IMD0012.0,INTRODUCAO AS TECNICAS DE PROGRAMACAO,25225d10ed027308160cd2d0ea75e91a,,GRADUAÇÃO,2017,1,40.0,A307,2017-02-13,2017-07-01,01,35M34 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 14:12:44.042,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
5533,57597571,IMD0012.0,INTRODUCAO AS TECNICAS DE PROGRAMACAO,aa9eece836ff5dd9c89cd50ee70ba08b,,GRADUAÇÃO,2017,1,30.0,A304,2017-02-13,2017-07-01,02,35M34 (13/02/2017 - 01/07/2017),,f,1,2017-07-03 19:08:30.203,f,68.0,CONSOLIDADA,,Presencial,Campus Central,
